METEOROLOGICAL DATA					DATA TYPE
HUMIDITY SENSOR
Galltech (manufacturer)
FK80J (model)
A310340000 (S/N)
SET OF FIVE THERMOELEMENTS
Uteco (Manufac.)
CB 1XK 0.22/6000 PVC JJ2X0.22 (model)

Hellenic Institute of Metrology
Sensor located in the Time & Frequency Laboratory
							END OF HEADER
 08 10 18 03 02 44	22.96	24.22	PRE?
 08 10 18 03 03 44	22.95	24.19	PRE?
 08 10 18 03 04 44	22.97	24.19	PRE?
 08 10 18 03 05 44	22.97	24.17	PRE?
 08 10 18 03 06 44	22.97	24.17	PRE?
 08 10 18 03 07 44	22.99	24.17	PRE?
 08 10 18 03 08 44	22.98	24.18	PRE?
 08 10 18 03 09 44	22.98	24.17	PRE?
 08 10 18 03 10 44	22.97	24.20	PRE?
 08 10 18 03 11 44	22.97	24.18	PRE?
 08 10 18 03 12 44	22.97	24.16	PRE?
 08 10 18 03 13 44	22.99	24.16	PRE?
 08 10 18 03 14 44	22.98	24.17	PRE?
 08 10 18 03 15 44	22.99	24.16	PRE?
 08 10 18 03 16 44	22.97	24.14	PRE?
 08 10 18 03 17 44	22.96	24.19	PRE?
 08 10 18 03 18 44	22.98	24.18	PRE?
 08 10 18 03 19 44	22.99	24.19	PRE?
 08 10 18 03 20 44	22.96	24.18	PRE?
 08 10 18 03 21 44	22.98	24.14	PRE?
 08 10 18 03 22 44	22.98	24.19	PRE?
 08 10 18 03 23 44	22.99	24.20	PRE?
 08 10 18 03 24 44	23.00	24.19	PRE?
 08 10 18 03 25 44	23.00	24.20	PRE?
 08 10 18 03 26 44	22.99	24.17	PRE?
 08 10 18 03 27 44	22.95	24.19	PRE?
 08 10 18 03 28 44	22.97	24.17	PRE?
 08 10 18 03 29 44	22.97	24.17	PRE?
 08 10 18 03 30 44	22.97	24.15	PRE?
 08 10 18 03 31 44	22.96	24.18	PRE?
 08 10 18 03 32 44	22.98	24.17	PRE?
 08 10 18 03 33 44	22.96	24.21	PRE?
 08 10 18 03 34 44	22.95	24.17	PRE?
 08 10 18 03 35 44	22.96	24.21	PRE?
 08 10 18 03 36 44	22.96	24.16	PRE?
 08 10 18 03 37 44	22.99	24.21	PRE?
 08 10 18 03 38 44	23.00	24.20	PRE?
 08 10 18 03 39 44	22.96	24.17	PRE?
 08 10 18 03 40 44	22.97	24.19	PRE?
 08 10 18 03 41 44	23.01	24.18	PRE?
 08 10 18 03 42 44	22.99	24.20	PRE?
 08 10 18 03 43 44	22.97	24.19	PRE?
 08 10 18 03 44 44	23.00	24.20	PRE?
 08 10 18 03 45 44	22.98	24.20	PRE?
 08 10 18 03 46 44	22.97	24.15	PRE?
 08 10 18 03 47 44	23.00	24.20	PRE?
 08 10 18 03 48 44	22.95	24.19	PRE?
 08 10 18 03 49 44	22.98	24.17	PRE?
 08 10 18 03 50 44	22.98	24.17	PRE?
 08 10 18 03 51 44	22.98	24.20	PRE?
 08 10 18 03 52 44	22.95	24.19	PRE?
 08 10 18 03 53 44	22.99	24.22	PRE?
 08 10 18 03 54 44	22.99	24.18	PRE?
 08 10 18 03 55 44	22.95	24.18	PRE?
 08 10 18 03 56 44	22.99	24.18	PRE?
 08 10 18 03 57 44	22.97	24.19	PRE?
 08 10 18 03 58 44	22.99	24.17	PRE?
 08 10 18 03 59 44	22.98	24.20	PRE?
 08 10 18 04 00 44	22.99	24.17	PRE?
 08 10 18 04 01 44	23.00	24.16	PRE?
 08 10 18 04 02 44	23.00	24.20	PRE?
 08 10 18 04 03 44	23.01	24.20	PRE?
 08 10 18 04 04 44	22.99	24.17	PRE?
 08 10 18 04 05 44	22.99	24.20	PRE?
 08 10 18 04 06 44	22.99	24.18	PRE?
 08 10 18 04 07 44	22.98	24.21	PRE?
 08 10 18 04 08 44	22.99	24.21	PRE?
 08 10 18 04 09 44	23.00	24.20	PRE?
 08 10 18 04 10 44	22.98	24.20	PRE?
 08 10 18 04 11 44	22.99	24.18	PRE?
 08 10 18 04 12 44	22.97	24.18	PRE?
 08 10 18 04 13 44	22.96	24.21	PRE?
 08 10 18 04 14 44	22.95	24.16	PRE?
 08 10 18 04 15 44	22.96	24.18	PRE?
 08 10 18 04 16 44	22.96	24.18	PRE?
 08 10 18 04 17 44	22.97	24.17	PRE?
 08 10 18 04 18 44	22.96	24.20	PRE?
 08 10 18 04 19 44	22.97	24.17	PRE?
 08 10 18 04 20 44	22.99	24.18	PRE?
 08 10 18 04 21 44	22.98	24.20	PRE?
 08 10 18 04 22 44	22.98	24.21	PRE?
 08 10 18 04 23 44	22.99	24.18	PRE?
 08 10 18 04 24 44	22.95	24.18	PRE?
 08 10 18 04 25 44	22.98	24.21	PRE?
 08 10 18 04 26 44	22.96	24.17	PRE?
 08 10 18 04 27 44	22.98	24.19	PRE?
 08 10 18 04 28 44	23.00	24.21	PRE?
 08 10 18 04 29 44	22.98	24.24	PRE?
 08 10 18 04 30 44	22.98	24.20	PRE?
 08 10 18 04 31 44	22.98	24.15	PRE?
 08 10 18 04 32 44	22.96	24.18	PRE?
 08 10 18 04 33 44	22.96	24.16	PRE?
 08 10 18 04 34 44	22.99	24.21	PRE?
 08 10 18 04 35 43	23.00	24.17	PRE?
 08 10 18 04 36 44	22.98	24.19	PRE?
 08 10 18 04 37 44	22.98	24.18	PRE?
 08 10 18 04 37 44	22.98	24.19	PRE?
 08 10 18 04 38 44	22.97	24.19	PRE?
 08 10 18 04 40 43	22.98	24.18	PRE?
 08 10 18 04 40 44	22.98	24.18	PRE?
 08 10 18 04 41 44	22.99	24.20	PRE?
 08 10 18 04 42 44	22.98	24.18	PRE?
 08 10 18 04 43 44	22.98	24.20	PRE?
 08 10 18 04 44 44	22.95	24.21	PRE?
 08 10 18 04 45 44	22.98	24.21	PRE?
 08 10 18 04 46 44	22.95	24.18	PRE?
 08 10 18 04 47 44	22.97	24.20	PRE?
 08 10 18 04 48 44	22.99	24.19	PRE?
 08 10 18 04 49 44	22.97	24.21	PRE?
 08 10 18 04 50 44	22.96	24.19	PRE?
 08 10 18 04 51 44	22.99	24.22	PRE?
 08 10 18 04 52 44	22.96	24.22	PRE?
 08 10 18 04 53 44	22.97	24.23	PRE?
 08 10 18 04 54 44	22.97	24.21	PRE?
 08 10 18 04 55 44	22.97	24.18	PRE?
 08 10 18 04 56 44	22.99	24.17	PRE?
 08 10 18 04 57 44	22.96	24.17	PRE?
 08 10 18 04 58 44	23.00	24.18	PRE?
 08 10 18 04 59 44	22.97	24.19	PRE?
 08 10 18 05 00 44	22.99	24.25	PRE?
